battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250223T053232.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,130.0,,9.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,673.0,#80ULY990Q,mishifu,16000035.0,GALE,11.0,717.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,673.0,,,,,,,,,,,,,,,,,,
20250223T052952.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,52.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,665.0,#2YRR8YPPY8,bigzaddyzach,16000005.0,SPIKE,11.0,649.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,665.0,,,,,,,,,,,,,,,,,,
20250223T052824.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,36.0,,-4.0,#229GJQCGLC,Tony,16000018.0,DARRYL,11.0,687.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,669.0,#RCJ0G8VL,El Idi0t@,16000011.0,MORTIS,11.0,671.0,,,,,,,,,,,,,,,,,,
20250223T013648.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,112.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,661.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,661.0,#88VL200V,Ghøst,16000038.0,SURGE,11.0,661.0,,,,,,,,,,,,,,,,,,
20250223T013424.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,113.0,,-4.0,#RQP0Q0V8J,Hotdog_MUNCHER,16000045.0,STU,11.0,677.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,665.0,#2LRCL0GY0P,Sancraft,16000007.0,JESSIE,11.0,660.0,,,,,,,,,,,,,,,,,,
20250223T013202.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,150.0,,12.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,653.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,653.0,#28UJC2C8QY,Devin,16000005.0,SPIKE,10.0,655.0,,,,,,,,,,,,,,,,,,
20250223T012858.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,139.0,,11.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,642.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,642.0,#JQR2R9PUR,Warai Oni,16000030.0,EMZ,11.0,629.0,,,,,,,,,,,,,,,,,,
20250223T012526.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,123.0,,10.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,632.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,632.0,#L29U0LY82,MOLINESHON☆~☆,16000045.0,STU,9.0,620.0,,,,,,,,,,,,,,,,,,
20250223T012239.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,73.0,,9.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,623.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,623.0,#RP92CY8C0,POU,16000022.0,TICK,11.0,636.0,,,,,,,,,,,,,,,,,,
20250223T011918.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,180.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,615.0,#2QLC0CJUY8,ab,16000007.0,JESSIE,11.0,632.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,615.0,,,,,,,,,,,,,,,,,,
