battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250105T174717.000Z,0,,,ranked,heist,victory,52.0,,,#9YYQC2PUY,Eidryan,16000082.0,BERRY,10.0,421.0,#9YYQC2PUY,Eidryan,16000082.0,BERRY,10.0,421.0,#2Q9R2VJVG8,dani🤎,16000007.0,JESSIE,7.0,461.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,457.0,,,,,,,,,,,,
20250105T174603.000Z,0,,,ranked,heist,victory,26.0,,,#UCGRU8YUP,pablo_df,16000017.0,TARA,11.0,454.0,#2GPY8L8LUP,Irvin,16000086.0,SHADE,9.0,457.0,#UCGRU8YUP,pablo_df,16000017.0,TARA,11.0,454.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,457.0,,,,,,,,,,,,
20250112T175729.000Z,15000238,brawlBall,Penalty Kick,ranked,brawlBall,defeat,152.0,,-3.0,#2Q2GG2QVRG,Milan 🥶🔥,16000004.0,RICO,10.0,443.0,#2L9J0PGJLU,Aedon,16000023.0,LEON,11.0,417.0,#8YP9VJJY0,IMathias,16000088.0,BUZZ LIGHTYEAR,11.0,400.0,#LV9QQLR08,nguyentran,16000072.0,PEARL,9.0,462.0,,,,,,,,,,,,
20250112T175420.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T175215.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T175116.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T175033.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174809.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174638.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174610.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,8.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174534.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,8.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174339.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250112T174330.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
