battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241121T171837.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,150.0,,,#2QQ0VG8V,rych,16000025.0,CARL,11.0,846.0,#282V8R98L9,jonasangels,16000020.0,FRANK,10.0,217.0,#2QQ0VG8V,rych,16000025.0,CARL,11.0,846.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,,,,,,,,,,,,
20241121T171535.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,89.0,,,#9YCGGGQ9C,TRONGH,16000009.0,DYNAMIKE,9.0,497.0,#9YCGGGQ9C,TRONGH,16000009.0,DYNAMIKE,9.0,497.0,#2YVQCRGY2G,Buhosupremo,16000019.0,PENNY,11.0,655.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,,,,,,,,,,,,
20241121T171016.000Z,15000827,unknown,Infernal Invasion,ranked,siege,defeat,141.0,,,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#L8UPULQ8C,Fishy,16000009.0,DYNAMIKE,11.0,677.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#2L2Q89LYVL,jasontrick,16000043.0,EDGAR,11.0,836.0,,,,,,,,,,,,
20241129T080957.000Z,15000834,duels,Tangled Shrubs,ranked,duels,victory,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241129T080612.000Z,15000834,duels,Tangled Shrubs,ranked,duels,victory,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241128T230805.000Z,15000833,duels,Swimming Skills,ranked,duels,victory,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241128T004915.000Z,15000796,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,2.0,,,,,,,,#2LRGPVGUY2,THE MC CHICKEN,16000038.0,SURGE,9.0,301.0,#22J2GUP0Q,CatstarlovesGod,16000015.0,PIPER,11.0,620.0,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,552.0,,,,,,,,,,,,
20241128T004606.000Z,15000796,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,1.0,,,,,,,,#RL22L88RV,lims 🦭,16000030.0,EMZ,10.0,564.0,#229U9UJ0,m8doyou_r8,16000003.0,BROCK,11.0,891.0,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,552.0,,,,,,,,,,,,
20241128T004327.000Z,15000796,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,2.0,,,,,,,,#LC8VRR0JV,Ŕøķø,16000078.0,MELODIE,11.0,477.0,#R8082Y0UR,leon,16000043.0,EDGAR,11.0,693.0,#8JYJY298,FruityPebbles,16000053.0,LOLA,10.0,480.0,,,,,,,,,,,,
20241128T004207.000Z,15000796,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,4.0,,,,,,,,#LL99YPPQP,edgedog12,16000084.0,MOE,8.0,0.0,#8JYJY298,FruityPebbles,16000006.0,BARLEY,10.0,611.0,#GPUUG2JV8,Peyboss,16000011.0,MORTIS,11.0,842.0,,,,,,,,,,,,
