battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies,player_brawler_name
20240612T223705.000Z,15000292,hotZone,Open Business,ranked,hotZone,victory,114.0,,9.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,324.0,#JJVGPCLP,hyperbolu,16000003,BROCK,9,312,#8JYJY298,FruityPebbles,16000007,JESSIE,9,324,#PQPVGC9RG,toniasta,16000080.0,DRACO,9.0,339.0,,,,,,,,,,,,,BROCK
20240612T223422.000Z,15000132,brawlBall,Center Stage,ranked,brawlBall,victory,110.0,,8.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,314.0,#28GVVYJ8G9,surezzHB,16000032,MAX,7,309,#JJVGPCLP,hyperbolu,16000003,BROCK,9,304,#8JYJY298,FruityPebbles,16000007.0,JESSIE,9.0,314.0,,,,,,,,,,,,,BROCK
20240612T193927.000Z,15000132,brawlBall,Center Stage,ranked,brawlBall,defeat,34.0,,-7.0,#GQ2VVCVYY,LILCOMMANDER24,16000076.0,KIT,10.0,612.0,#JJVGPCLP,hyperbolu,16000001,COLT,11,610,#298C02J,KevinDaBoss,16000002,BULL,6,259,#2V99RU2PR,alligator246,16000078.0,MELODIE,9.0,320.0,,,,,,,,,,,,,COLT
20240612T193827.000Z,15000132,brawlBall,Center Stage,ranked,brawlBall,defeat,52.0,,-7.0,#22G8Q00YV,big boy,16000043.0,EDGAR,11.0,600.0,#JJVGPCLP,hyperbolu,16000001,COLT,11,617,#298C02J,KevinDaBoss,16000002,BULL,6,262,#2V99RU2PR,alligator246,16000078.0,MELODIE,9.0,324.0,,,,,,,,,,,,,COLT
20240612T193706.000Z,15000132,brawlBall,Center Stage,ranked,brawlBall,defeat,61.0,,-7.0,#CLL2QL2R,abedoya,16000019.0,PENNY,9.0,621.0,#JJVGPCLP,hyperbolu,16000001,COLT,11,624,#298C02J,KevinDaBoss,16000002,BULL,6,265,#2V99RU2PR,alligator246,16000078.0,MELODIE,9.0,328.0,,,,,,,,,,,,,COLT
20240612T185705.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,9.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,226,#298C02J,KevinDaBoss,16000043,EDGAR,9,584,,,,,,,,,,,,,,,,,,,8-BIT
20240612T185553.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,4.0,-2.0,,,,,,,#298C02J,KevinDaBoss,16000007,JESSIE,7,290,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,228,,,,,,,,,,,,,,,,,,,8-BIT
20240612T185515.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,4.0,-2.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,230,#298C02J,KevinDaBoss,16000007,JESSIE,7,292,,,,,,,,,,,,,,,,,,,8-BIT
20240612T185328.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,3.0,2.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,228,#298C02J,KevinDaBoss,16000007,JESSIE,7,290,,,,,,,,,,,,,,,,,,,8-BIT
20240612T185011.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,2.0,12.0,,,,,,,#298C02J,KevinDaBoss,16000006,BARLEY,7,273,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,170,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T184724.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,14.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,156,#298C02J,KevinDaBoss,16000006,BARLEY,7,259,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T184518.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,2.0,12.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,144,#298C02J,KevinDaBoss,16000006,BARLEY,7,248,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T184240.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,3.0,3.0,,,,,,,#298C02J,KevinDaBoss,16000006,BARLEY,7,246,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,141,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T184042.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,14.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,127,#298C02J,KevinDaBoss,16000006,BARLEY,7,234,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T183840.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,13.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,114,#298C02J,KevinDaBoss,16000006,BARLEY,7,223,,,,,,,,,,,,,,,,,,,DYNAMIKE
20240612T004151.000Z,15000019,heist,Safe Zone,soloRanked,heist,victory,150.0,,,#JJVGPCLP,hyperbolu,16000001.0,COLT,11.0,1.0,#8JYJY298,FruityPebbles,16000003,BROCK,9,6,#JJVGPCLP,hyperbolu,16000001,COLT,11,1,#GCCQQU0JR,Anli,16000012.0,CROW,11.0,6.0,,,,,,,,,,,,,COLT
